run,randomSeed,margin_perc_spread,firms_risk_premium,inn_exponent,perc_total_credit,months_of_income,prop_consume_wealth,information_dispersion,cons_risk_premium,res_wage_adjustment,rep_exponent,VacanRatio.UnempRate
203,-1860364910,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.07,1.5,-0.67
187,-1860362206,0.1,0.1,0.5,0.1,6,0.1,0.7,1,0.07,1.5,-0.58
246,-1860357738,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,1,-0.78
248,-1860359478,0.1,0.1,0.5,0.1,6,0.1,1,1,0.04,2,-0.61
249,-1860357705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,0.5,-0.43
250,-1860356705,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,1,-0.71
209,-1860349312,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,0.5,-0.92
252,-1860343701,0.1,0.1,0.5,0.1,6,0.1,1,1,0.07,2,-0.77
193,-1860345247,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.01,0.5,-0.92
254,-1860345199,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1,-0.39
255,-1860344087,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,1.5,-0.61
256,-1860343206,0.1,0.1,0.5,0.1,6,0.1,1,1,0.1,2,-0.87
215,-1860333799,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.04,1.5,-0.99
258,-1860329247,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,1,-0.95
260,-1860332811,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.01,2,-0.87
199,-1860326929,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.04,1.5,-0.78
261,-1860331458,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,0.5,-0.9
262,-1860329676,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,1,-0.97
221,-1860320316,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.1,0.5,-0.85
264,-1860316855,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.04,2,-0.98
266,-1860318618,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1,-0.57
267,-1860318792,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,1.5,-0.97
268,-1860315722,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.07,2,-0.88
205,-1860309781,0.1,0.1,0.5,0.1,6,0.1,1,0.1,0.1,0.5,-0.41
227,-1860304659,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.01,1.5,-0.88
270,-1860302176,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,1,-0.94
272,-1860307359,0.1,0.1,0.5,0.1,6,0.4,0.1,0.1,0.1,2,-0.92
273,-1860305327,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,0.5,-0.91
274,-1860302828,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,1,-0.69
211,-1860291797,0.1,0.1,0.5,0.1,6,0.1,1,0.4,0.01,1.5,-0.91
233,-1860287343,0.1,0.1,0.5,0.1,6,0.1,1,0.7,0.07,0.5,0.54
276,-1860288306,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.01,2,-0.99
278,-1860294311,0.1,0.1,0.5,0.1,6,0.4,0.1,0.4,0.04,1,-0.88
